Year,AverageTemperature,Country
1900,22.86416667,Algeria
1901,22.72641667,Algeria
1902,23.05241667,Algeria
1903,22.55566667,Algeria
1904,22.68233333,Algeria
1905,22.56008333,Algeria
1906,22.46858333,Algeria
1907,22.17158333,Algeria
1908,22.82958333,Algeria
1909,22.56983333,Algeria
1910,22.67691667,Algeria
1911,22.57466667,Algeria
1912,22.86675,Algeria
1913,23.07925,Algeria
1914,23.04316667,Algeria
1915,22.82116667,Algeria
1916,22.643,Algeria
1917,22.46116667,Algeria
1918,22.41125,Algeria
1919,22.77333333,Algeria
1920,23.09433333,Algeria
1921,22.72358333,Algeria
1922,22.9345,Algeria
1923,22.43575,Algeria
1924,23.41808333,Algeria
1925,22.72658333,Algeria
1926,23.50166667,Algeria
1927,23.33541667,Algeria
1928,23.11541667,Algeria
1929,22.67208333,Algeria
1930,23.4545,Algeria
1931,23.86583333,Algeria
1932,23.61691667,Algeria
1933,23.1685,Algeria
1934,22.74466667,Algeria
1935,22.91975,Algeria
1936,22.94091667,Algeria
1937,23.7275,Algeria
1938,22.72766667,Algeria
1939,22.84141667,Algeria
1940,23.00591667,Algeria
1941,23.44341667,Algeria
1942,23.61016667,Algeria
1943,23.03333333,Algeria
1944,22.93416667,Algeria
1945,23.3655,Algeria
1946,23.25425,Algeria
1947,23.69016667,Algeria
1948,23.07133333,Algeria
1949,23.18816667,Algeria
1950,22.78183333,Algeria
1951,23.32166667,Algeria
1952,23.18541667,Algeria
1953,22.86941667,Algeria
1954,22.65241667,Algeria
1955,24.00483333,Algeria
1956,22.61133333,Algeria
1957,22.62025,Algeria
1958,23.54491667,Algeria
1959,23.33366667,Algeria
1960,23.50408333,Algeria
1961,23.39033333,Algeria
1962,23.18241667,Algeria
1963,23.31783333,Algeria
1964,23.1475,Algeria
1965,22.97375,Algeria
1966,23.30133333,Algeria
1967,22.86166667,Algeria
1968,23.18591667,Algeria
1969,23.45825,Algeria
1970,23.32283333,Algeria
1971,22.67225,Algeria
1972,22.69816667,Algeria
1973,22.88616667,Algeria
1974,22.541,Algeria
1975,22.71641667,Algeria
1976,22.35675,Algeria
1977,23.54608333,Algeria
1978,23.16183333,Algeria
1979,23.39683333,Algeria
1980,23.16016667,Algeria
1981,23.57925,Algeria
1982,23.09416667,Algeria
1983,23.683,Algeria
1984,23.06308333,Algeria
1985,23.52625,Algeria
1986,23.25666667,Algeria
1987,24.24775,Algeria
1988,23.81566667,Algeria
1989,23.72433333,Algeria
1990,24.01441667,Algeria
1991,23.01108333,Algeria
1992,22.767,Algeria
1993,23.45083333,Algeria
1994,23.64208333,Algeria
1995,23.7225,Algeria
1996,23.73433333,Algeria
1997,23.95516667,Algeria
1998,23.92058333,Algeria
1999,24.29941667,Algeria
2000,24.03225,Algeria
2001,24.72441667,Algeria
2002,24.263,Algeria
2003,24.39366667,Algeria
2004,23.916,Algeria
2005,24.22258333,Algeria
2006,24.20083333,Algeria
2007,24.06533333,Algeria
2008,23.95025,Algeria
2009,24.15433333,Algeria
2010,25.21566667,Algeria
2011,24.14416667,Algeria
2012,23.95483333,Algeria
2013,25.1215,Algeria
1900,22.79775,Egypt
1901,23.18158333,Egypt
1902,22.62491667,Egypt
1903,22.05275,Egypt
1904,21.97033333,Egypt
1905,22.3905,Egypt
1906,22.75633333,Egypt
1907,21.93691667,Egypt
1908,21.986,Egypt
1909,22.9115,Egypt
1910,22.03816667,Egypt
1911,22.184,Egypt
1912,22,Egypt
1913,21.787,Egypt
1914,22.50941667,Egypt
1915,23.14458333,Egypt
1916,23.09516667,Egypt
1917,22.39141667,Egypt
1918,22.72283333,Egypt
1919,22.83058333,Egypt
1920,22.08941667,Egypt
1921,22.35108333,Egypt
1922,22.701,Egypt
1923,22.67,Egypt
1924,22.94516667,Egypt
1925,22.80958333,Egypt
1926,22.51708333,Egypt
1927,22.97275,Egypt
1928,23.19291667,Egypt
1929,22.55266667,Egypt
1930,22.99516667,Egypt
1931,23.03583333,Egypt
1932,22.675,Egypt
1933,22.70491667,Egypt
1934,22.85983333,Egypt
1935,22.82725,Egypt
1936,23.34691667,Egypt
1937,23.13916667,Egypt
1938,22.525,Egypt
1939,23.25391667,Egypt
1940,22.99575,Egypt
1941,23.22841667,Egypt
1942,23.02125,Egypt
1943,22.6125,Egypt
1944,22.785,Egypt
1945,22.263,Egypt
1946,23.05375,Egypt
1947,23.3185,Egypt
1948,22.14383333,Egypt
1949,21.8925,Egypt
1950,22.68108333,Egypt
1951,23.07116667,Egypt
1952,23.263,Egypt
1953,22.6735,Egypt
1954,22.66425,Egypt
1955,23.402,Egypt
1956,22.97975,Egypt
1957,23.03808333,Egypt
1958,23.30475,Egypt
1959,22.28458333,Egypt
1960,23.62116667,Egypt
1961,22.23375,Egypt
1962,23.49683333,Egypt
1963,23.652,Egypt
1964,22.47308333,Egypt
1965,22.76325,Egypt
1966,23.36983333,Egypt
1967,22.28091667,Egypt
1968,22.73883333,Egypt
1969,23.40441667,Egypt
1970,22.70841667,Egypt
1971,22.68,Egypt
1972,22.85475,Egypt
1973,22.74058333,Egypt
1974,22.69025,Egypt
1975,22.57808333,Egypt
1976,22.86091667,Egypt
1977,22.66775,Egypt
1978,22.95366667,Egypt
1979,23.56016667,Egypt
1980,23.06541667,Egypt
1981,22.85175,Egypt
1982,22.45375,Egypt
1983,22.09358333,Egypt
1984,22.88125,Egypt
1985,23.20966667,Egypt
1986,22.90183333,Egypt
1987,22.84891667,Egypt
1988,23.2365,Egypt
1989,22.79,Egypt
1990,23.09141667,Egypt
1991,23.0885,Egypt
1992,22.55491667,Egypt
1993,23.39225,Egypt
1994,23.235,Egypt
1995,23.16916667,Egypt
1996,23.42633333,Egypt
1997,22.93966667,Egypt
1998,23.68241667,Egypt
1999,23.77933333,Egypt
2000,22.88141667,Egypt
2001,23.61633333,Egypt
2002,23.71625,Egypt
2003,23.49641667,Egypt
2004,23.51108333,Egypt
2005,23.52025,Egypt
2006,23.50566667,Egypt
2007,23.58433333,Egypt
2008,23.90791667,Egypt
2009,23.735,Egypt
2010,25.15191667,Egypt
2011,23.33141667,Egypt
2012,23.77091667,Egypt
2013,24.50525,Egypt
1900,22.17083333,Libya
1901,22.34525,Libya
1902,22.12033333,Libya
1903,21.76325,Libya
1904,21.85316667,Libya
1905,21.97075,Libya
1906,22.12875,Libya
1907,21.5465,Libya
1908,21.77975,Libya
1909,22.15391667,Libya
1910,21.66533333,Libya
1911,21.88925,Libya
1912,21.76666667,Libya
1913,22.17841667,Libya
1914,22.39625,Libya
1915,22.48425,Libya
1916,22.52833333,Libya
1917,21.94075,Libya
1918,22.21925,Libya
1919,22.35525,Libya
1920,22.02966667,Libya
1921,22.14058333,Libya
1922,22.21633333,Libya
1923,21.98116667,Libya
1924,22.60991667,Libya
1925,22.5155,Libya
1926,22.54816667,Libya
1927,22.72316667,Libya
1928,22.77208333,Libya
1929,21.87325,Libya
1930,22.70608333,Libya
1931,23.08375,Libya
1932,22.86508333,Libya
1933,22.61316667,Libya
1934,22.62441667,Libya
1935,22.35825,Libya
1936,22.55791667,Libya
1937,22.7765,Libya
1938,22.07766667,Libya
1939,22.82683333,Libya
1940,22.394,Libya
1941,22.81358333,Libya
1942,22.78391667,Libya
1943,22.51533333,Libya
1944,22.349,Libya
1945,22.18041667,Libya
1946,22.82791667,Libya
1947,23.06783333,Libya
1948,22.04516667,Libya
1949,21.77858333,Libya
1950,21.88125,Libya
1951,22.69508333,Libya
1952,22.72108333,Libya
1953,22.29158333,Libya
1954,22.05766667,Libya
1955,23.30975,Libya
1956,22.08858333,Libya
1957,22.40341667,Libya
1958,22.79366667,Libya
1959,22.12941667,Libya
1960,23.13466667,Libya
1961,21.81791667,Libya
1962,22.62858333,Libya
1963,23.02741667,Libya
1964,22.25116667,Libya
1965,22.11541667,Libya
1966,22.51308333,Libya
1967,22.051,Libya
1968,22.46516667,Libya
1969,23.13475,Libya
1970,22.25391667,Libya
1971,22.20841667,Libya
1972,22.65091667,Libya
1973,22.14558333,Libya
1974,22.13541667,Libya
1975,22.1535,Libya
1976,22.315,Libya
1977,22.51691667,Libya
1978,22.41133333,Libya
1979,22.78475,Libya
1980,22.36966667,Libya
1981,22.60958333,Libya
1982,22.40975,Libya
1983,22.20216667,Libya
1984,22.50225,Libya
1985,22.68416667,Libya
1986,22.54233333,Libya
1987,22.80491667,Libya
1988,23.11458333,Libya
1989,22.65558333,Libya
1990,23.101,Libya
1991,22.61816667,Libya
1992,22.39783333,Libya
1993,23.00275,Libya
1994,22.81608333,Libya
1995,22.9495,Libya
1996,23.12325,Libya
1997,23.0465,Libya
1998,23.27633333,Libya
1999,23.69358333,Libya
2000,22.83508333,Libya
2001,23.41316667,Libya
2002,23.40941667,Libya
2003,23.369,Libya
2004,23.27841667,Libya
2005,23.25666667,Libya
2006,23.31508333,Libya
2007,23.32583333,Libya
2008,23.47433333,Libya
2009,23.37983333,Libya
2010,24.51591667,Libya
2011,22.98833333,Libya
2012,23.27066667,Libya
2013,24.314,Libya
1900,17.56741667,Morocco
1901,17.47191667,Morocco
1902,17.51083333,Morocco
1903,17.23033333,Morocco
1904,17.48016667,Morocco
1905,17.35366667,Morocco
1906,17.26075,Morocco
1907,16.94233333,Morocco
1908,17.50158333,Morocco
1909,17.2065,Morocco
1910,17.3105,Morocco
1911,17.19766667,Morocco
1912,17.35833333,Morocco
1913,17.61725,Morocco
1914,17.30716667,Morocco
1915,17.50733333,Morocco
1916,17.27775,Morocco
1917,16.95875,Morocco
1918,17.04508333,Morocco
1919,17.37291667,Morocco
1920,17.81333333,Morocco
1921,17.46858333,Morocco
1922,17.47608333,Morocco
1923,17.2975,Morocco
1924,17.80708333,Morocco
1925,17.11416667,Morocco
1926,18.307,Morocco
1927,17.8305,Morocco
1928,17.64333333,Morocco
1929,17.75175,Morocco
1930,17.91341667,Morocco
1931,17.66883333,Morocco
1932,17.22825,Morocco
1933,17.56441667,Morocco
1934,17.1125,Morocco
1935,17.47075,Morocco
1936,17.46791667,Morocco
1937,18.2965,Morocco
1938,17.72483333,Morocco
1939,17.35275,Morocco
1940,17.90858333,Morocco
1941,17.90291667,Morocco
1942,17.91741667,Morocco
1943,17.65816667,Morocco
1944,17.62125,Morocco
1945,18.52716667,Morocco
1946,17.55525,Morocco
1947,18.22616667,Morocco
1948,18.17466667,Morocco
1949,18.15033333,Morocco
1950,17.95291667,Morocco
1951,17.59391667,Morocco
1952,17.89275,Morocco
1953,17.82225,Morocco
1954,17.41858333,Morocco
1955,18.7615,Morocco
1956,16.93366667,Morocco
1957,17.38508333,Morocco
1958,18.01,Morocco
1959,17.6655,Morocco
1960,17.85625,Morocco
1961,18.60866667,Morocco
1962,18.0075,Morocco
1963,17.779,Morocco
1964,17.9755,Morocco
1965,17.62683333,Morocco
1966,17.95108333,Morocco
1967,17.54358333,Morocco
1968,17.71825,Morocco
1969,17.62183333,Morocco
1970,17.9635,Morocco
1971,16.9075,Morocco
1972,16.59491667,Morocco
1973,17.5375,Morocco
1974,17.24958333,Morocco
1975,17.41241667,Morocco
1976,17.03483333,Morocco
1977,17.73275,Morocco
1978,17.95275,Morocco
1979,17.86033333,Morocco
1980,18.05675,Morocco
1981,18.31216667,Morocco
1982,17.70191667,Morocco
1983,18.55508333,Morocco
1984,17.714,Morocco
1985,18.30933333,Morocco
1986,17.79266667,Morocco
1987,18.81466667,Morocco
1988,18.212,Morocco
1989,18.53033333,Morocco
1990,18.69766667,Morocco
1991,17.61725,Morocco
1992,17.68575,Morocco
1993,17.50266667,Morocco
1994,18.46041667,Morocco
1995,18.78883333,Morocco
1996,18.24833333,Morocco
1997,18.79925,Morocco
1998,18.71266667,Morocco
1999,18.36833333,Morocco
2000,18.56508333,Morocco
2001,19.23391667,Morocco
2002,18.71258333,Morocco
2003,18.856,Morocco
2004,18.486,Morocco
2005,18.58075,Morocco
2006,18.79316667,Morocco
2007,18.41966667,Morocco
2008,18.38216667,Morocco
2009,19.01075,Morocco
2010,19.435,Morocco
2011,18.87883333,Morocco
2012,18.66875,Morocco
2013,19.30525,Morocco
1900,19.84066667,Tunisia
1901,19.70366667,Tunisia
1902,19.97533333,Tunisia
1903,19.29833333,Tunisia
1904,19.8545,Tunisia
1905,19.58841667,Tunisia
1906,19.29941667,Tunisia
1907,19.09033333,Tunisia
1908,19.71075,Tunisia
1909,19.3065,Tunisia
1910,19.38883333,Tunisia
1911,19.78058333,Tunisia
1912,19.75241667,Tunisia
1913,20.2275,Tunisia
1914,19.799,Tunisia
1915,19.83575,Tunisia
1916,19.99966667,Tunisia
1917,19.56291667,Tunisia
1918,19.4165,Tunisia
1919,19.67966667,Tunisia
1920,20.24608333,Tunisia
1921,19.918,Tunisia
1922,20.13408333,Tunisia
1923,19.31458333,Tunisia
1924,20.53241667,Tunisia
1925,19.82083333,Tunisia
1926,20.4175,Tunisia
1927,20.64366667,Tunisia
1928,20.25375,Tunisia
1929,19.28575,Tunisia
1930,20.43991667,Tunisia
1931,20.86225,Tunisia
1932,20.49666667,Tunisia
1933,20.15016667,Tunisia
1934,19.90975,Tunisia
1935,19.84491667,Tunisia
1936,19.94258333,Tunisia
1937,20.57991667,Tunisia
1938,19.42866667,Tunisia
1939,20.04166667,Tunisia
1940,19.7365,Tunisia
1941,19.88491667,Tunisia
1942,20.4255,Tunisia
1943,20.49941667,Tunisia
1944,19.87708333,Tunisia
1945,20.504,Tunisia
1946,20.72241667,Tunisia
1947,20.96783333,Tunisia
1948,20.14116667,Tunisia
1949,20.146,Tunisia
1950,20.12175,Tunisia
1951,20.23291667,Tunisia
1952,20.71241667,Tunisia
1953,19.92875,Tunisia
1954,19.58916667,Tunisia
1955,20.98608333,Tunisia
1956,19.47441667,Tunisia
1957,19.65025,Tunisia
1958,20.29958333,Tunisia
1959,20.02858333,Tunisia
1960,20.64091667,Tunisia
1961,20.38291667,Tunisia
1962,20.02025,Tunisia
1963,20.22583333,Tunisia
1964,20.09608333,Tunisia
1965,19.97283333,Tunisia
1966,20.22283333,Tunisia
1967,19.94616667,Tunisia
1968,20.251,Tunisia
1969,19.99625,Tunisia
1970,20.10491667,Tunisia
1971,19.73841667,Tunisia
1972,19.75175,Tunisia
1973,19.97216667,Tunisia
1974,19.674,Tunisia
1975,19.74441667,Tunisia
1976,19.32758333,Tunisia
1977,20.63033333,Tunisia
1978,19.776,Tunisia
1979,20.1765,Tunisia
1980,19.49608333,Tunisia
1981,20.267,Tunisia
1982,20.50733333,Tunisia
1983,20.27716667,Tunisia
1984,19.83283333,Tunisia
1985,20.48641667,Tunisia
1986,20.27608333,Tunisia
1987,20.80341667,Tunisia
1988,20.92925,Tunisia
1989,20.74641667,Tunisia
1990,20.929,Tunisia
1991,19.92475,Tunisia
1992,20.03316667,Tunisia
1993,20.56766667,Tunisia
1994,21.266,Tunisia
1995,20.68316667,Tunisia
1996,20.5275,Tunisia
1997,21.084,Tunisia
1998,20.76133333,Tunisia
1999,21.65691667,Tunisia
2000,21.1405,Tunisia
2001,21.70125,Tunisia
2002,21.32841667,Tunisia
2003,21.47758333,Tunisia
2004,20.94508333,Tunisia
2005,20.84575,Tunisia
2006,21.31,Tunisia
2007,21.15466667,Tunisia
2008,21.20458333,Tunisia
2009,21.0925,Tunisia
2010,21.60975,Tunisia
2011,20.99491667,Tunisia
2012,21.47916667,Tunisia
2013,21.887125,Tunisia
